timestamp_sent,command_sent,ACT,ACTION,AMR_DOCK,AMR_Footprint,AMR_PosTarget,CAMERA,ITM_ID,JIG_ID,OBJ_Nbr,OBJ_Type,STATION,taskName,task_data,task_output_position,task_output_results,task_outputs,result,task_id,receiver,dispatch_path,message,state_path,state_timeline,timestamp_returned
2026-03-11T09:35:19.083+01:00,Navigate,,,1,1,2,,,,,,,Navigate,"{""id"": ""b52dfcff-986c-47a5-a7cd-4564ce071f6f"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": ""NavigationComplete""}}",0,NavigationComplete,"{""Position"": ""0"", ""Results"": ""NavigationComplete""}",succeeded,b52dfcff-986c-47a5-a7cd-4564ce071f6f,AMR,uGO_CONTROLLER > UR5E_POLYSCOPE > AMR,,PENDING > EXECUTE > COMPLETE,2026-03-11T09:35:19.091+01:00:PENDING | 2026-03-11T09:35:20.096+01:00:EXECUTE | 2026-03-11T09:35:21.101+01:00:COMPLETE,2026-03-11T09:35:21.101+01:00
2026-03-11T09:35:21.203+01:00,SingleDeviceAction,30,,,,,,2,,,,,SingleDeviceAction,"{""id"": ""a38fd5a6-fea4-42b6-a980-416046330fb4"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": ""p[0, 0, 0, 0, 0, 0]""}}",0,"p[0, 0, 0, 0, 0, 0]","{""Position"": ""0"", ""Results"": ""p[0, 0, 0, 0, 0, 0]""}",succeeded,a38fd5a6-fea4-42b6-a980-416046330fb4,ARM,uGO_CONTROLLER > UR5E_POLYSCOPE > ARM,,PENDING > EXECUTE > COMPLETE,2026-03-11T09:35:21.210+01:00:PENDING | 2026-03-11T09:35:22.216+01:00:EXECUTE | 2026-03-11T09:35:23.243+01:00:COMPLETE,2026-03-11T09:35:23.243+01:00
2026-03-11T09:35:23.346+01:00,SingleTask,,1,,,,,2,1,1,9001,,SingleTask,"{""id"": ""13afaaad-bf33-4531-a41e-971dfcd68f1a"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": """"}}",0,,"{""Position"": ""0"", ""Results"": """"}",succeeded,13afaaad-bf33-4531-a41e-971dfcd68f1a,ARM,uGO_CONTROLLER > UR5E_POLYSCOPE > ARM,,PENDING > EXECUTE > COMPLETE,2026-03-11T09:35:23.358+01:00:PENDING | 2026-03-11T09:35:24.362+01:00:EXECUTE | 2026-03-11T09:35:26.373+01:00:COMPLETE,2026-03-11T09:35:26.373+01:00
2026-03-11T09:35:26.376+01:00,SingleTask,,2,,,,,1,1,1,9001,,SingleTask,"{""id"": ""40d1221b-e81b-427d-821a-ea7ba837bddf"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": """"}}",0,,"{""Position"": ""0"", ""Results"": """"}",succeeded,40d1221b-e81b-427d-821a-ea7ba837bddf,ARM,uGO_CONTROLLER > UR5E_POLYSCOPE > ARM,,PENDING > EXECUTE > COMPLETE,2026-03-11T09:35:26.390+01:00:PENDING | 2026-03-11T09:35:27.396+01:00:EXECUTE | 2026-03-11T09:35:28.402+01:00:COMPLETE,2026-03-11T09:35:28.402+01:00
2026-03-11T09:35:28.509+01:00,Charge,,,,,,,,,,,,Charge,"{""id"": ""434c8f0d-13bc-4adf-ad11-f6518b88e004"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": ""NavigationComplete""}}",0,NavigationComplete,"{""Position"": ""0"", ""Results"": ""NavigationComplete""}",succeeded,434c8f0d-13bc-4adf-ad11-f6518b88e004,AMR,uGO_CONTROLLER > UR5E_POLYSCOPE > AMR,,PENDING > EXECUTE > COMPLETE,2026-03-11T09:35:28.518+01:00:PENDING | 2026-03-11T09:35:29.528+01:00:EXECUTE | 2026-03-11T09:35:31.537+01:00:COMPLETE,2026-03-11T09:35:31.537+01:00
2026-03-11T09:35:31.640+01:00,InspectRackAtStation,,,,,,WRIST,,1,,,uLMPlateStation,CameraInspect,"{""id"": ""69308d8b-ebb1-4a9c-9ae2-22836dfb2410"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": ""[1,2,3,4,5,6,7,8,9,10,11,12,30,31]""}}",0,"[1,2,3,4,5,6,7,8,9,10,11,12,30,31]","{""Position"": ""0"", ""Results"": ""[1,2,3,4,5,6,7,8,9,10,11,12,30,31]""}",succeeded,69308d8b-ebb1-4a9c-9ae2-22836dfb2410,WRIST_CAMERA,uGO_CONTROLLER > UR5E_POLYSCOPE > WRIST_CAMERA,,PENDING > EXECUTE > COMPLETE,2026-03-11T09:35:31.653+01:00:PENDING | 2026-03-11T09:35:32.659+01:00:EXECUTE | 2026-03-11T09:35:34.673+01:00:COMPLETE,2026-03-11T09:35:34.673+01:00
2026-03-11T09:35:34.824+01:00,SingleTask,,1,,,,,1,1,1,101,,SingleTask,"{""id"": ""ebe0d326-5d31-4553-bf5c-c597c1d15a3c"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": """"}}",0,,"{""Position"": ""0"", ""Results"": """"}",succeeded,ebe0d326-5d31-4553-bf5c-c597c1d15a3c,ARM,uGO_CONTROLLER > UR5E_POLYSCOPE > ARM,,PENDING > EXECUTE > COMPLETE,2026-03-11T09:35:34.838+01:00:PENDING | 2026-03-11T09:35:35.843+01:00:EXECUTE | 2026-03-11T09:35:37.853+01:00:COMPLETE,2026-03-11T09:35:37.853+01:00
2026-03-11T09:35:37.854+01:00,SingleTask,,2,,,,,1,10,1,101,,SingleTask,"{""id"": ""02f6ecc3-9793-49a6-b4e6-1277a4d31913"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": """"}}",0,,"{""Position"": ""0"", ""Results"": """"}",succeeded,02f6ecc3-9793-49a6-b4e6-1277a4d31913,ARM,uGO_CONTROLLER > UR5E_POLYSCOPE > ARM,,PENDING > EXECUTE > COMPLETE,2026-03-11T09:35:37.860+01:00:PENDING | 2026-03-11T09:35:38.870+01:00:EXECUTE | 2026-03-11T09:35:39.874+01:00:COMPLETE,2026-03-11T09:35:39.874+01:00
2026-03-11T09:35:39.880+01:00,ProcessAt3FingerStation,,3,,,,,1,10,,,,ProcessAt3FingerStation,"{""id"": ""d867a519-975a-49c8-bcd9-7293e91ef28b"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": ""NONE""}}",0,NONE,"{""Position"": ""0"", ""Results"": ""NONE""}",succeeded,d867a519-975a-49c8-bcd9-7293e91ef28b,3FG,uGO_CONTROLLER > UR5E_POLYSCOPE > 3FG,,PENDING > EXECUTE > COMPLETE,2026-03-11T09:35:39.888+01:00:PENDING | 2026-03-11T09:35:40.898+01:00:EXECUTE | 2026-03-11T09:35:42.911+01:00:COMPLETE,2026-03-11T09:35:42.911+01:00
2026-03-11T09:35:42.913+01:00,SingleTask,,1,,,,,1,10,1,101,,SingleTask,"{""id"": ""b23f0b62-e8ec-49a4-ac6a-7ebe1eadd977"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": """"}}",0,,"{""Position"": ""0"", ""Results"": """"}",succeeded,b23f0b62-e8ec-49a4-ac6a-7ebe1eadd977,ARM,uGO_CONTROLLER > UR5E_POLYSCOPE > ARM,,PENDING > EXECUTE > COMPLETE,2026-03-11T09:35:42.919+01:00:PENDING | 2026-03-11T09:35:43.930+01:00:EXECUTE | 2026-03-11T09:35:45.942+01:00:COMPLETE,2026-03-11T09:35:45.942+01:00
2026-03-11T09:35:45.944+01:00,SingleTask,,2,,,,,1,4,1,101,,SingleTask,"{""id"": ""8fd5ed35-1281-46b1-bc6d-ff050469f44d"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": """"}}",0,,"{""Position"": ""0"", ""Results"": """"}",succeeded,8fd5ed35-1281-46b1-bc6d-ff050469f44d,ARM,uGO_CONTROLLER > UR5E_POLYSCOPE > ARM,,PENDING > EXECUTE > COMPLETE,2026-03-11T09:35:45.950+01:00:PENDING | 2026-03-11T09:35:46.955+01:00:EXECUTE | 2026-03-11T09:35:48.965+01:00:COMPLETE,2026-03-11T09:35:48.965+01:00
2026-03-11T09:35:48.976+01:00,SingleTask,,1,,,,,1,1,2,101,,SingleTask,"{""id"": ""ec9b1194-6d0c-4e9e-bb83-9780c3780abc"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": """"}}",0,,"{""Position"": ""0"", ""Results"": """"}",succeeded,ec9b1194-6d0c-4e9e-bb83-9780c3780abc,ARM,uGO_CONTROLLER > UR5E_POLYSCOPE > ARM,,PENDING > EXECUTE > COMPLETE,2026-03-11T09:35:48.986+01:00:PENDING | 2026-03-11T09:35:49.991+01:00:EXECUTE | 2026-03-11T09:35:50.996+01:00:COMPLETE,2026-03-11T09:35:50.996+01:00
2026-03-11T09:35:50.998+01:00,SingleTask,,2,,,,,1,10,1,101,,SingleTask,"{""id"": ""5fe5fec2-e9d0-4d82-98c5-f56d8e2fdf42"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": """"}}",0,,"{""Position"": ""0"", ""Results"": """"}",succeeded,5fe5fec2-e9d0-4d82-98c5-f56d8e2fdf42,ARM,uGO_CONTROLLER > UR5E_POLYSCOPE > ARM,,PENDING > EXECUTE > COMPLETE,2026-03-11T09:35:51.003+01:00:PENDING | 2026-03-11T09:35:52.011+01:00:EXECUTE | 2026-03-11T09:35:54.023+01:00:COMPLETE,2026-03-11T09:35:54.023+01:00
