timestamp_sent,command_sent,ACT,ACTION,AMR_DOCK,AMR_Footprint,AMR_PosTarget,CAMERA,ITM_ID,JIG_ID,OBJ_Nbr,OBJ_Type,STATION,taskName,task_data,task_output_position,task_output_results,task_outputs,result,task_id,receiver,dispatch_path,message,state_path,state_timeline,timestamp_returned
2026-03-11T17:01:53.732+01:00,SingleDeviceAction,30,,,,,,5,,,,,SingleDeviceAction,"{""id"": ""c342e79e-e8b7-41ac-94a3-4877c4e086ef"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": ""p[0.00004, -0.000035, -0.000134, -0.00007, -0.000052, 0.000087]""}}",0,"p[0.00004, -0.000035, -0.000134, -0.00007, -0.000052, 0.000087]","{""Position"": ""0"", ""Results"": ""p[0.00004, -0.000035, -0.000134, -0.00007, -0.000052, 0.000087]""}",succeeded,c342e79e-e8b7-41ac-94a3-4877c4e086ef,ARM,uGO_CONTROLLER > UR5E_POLYSCOPE > ARM,,PENDING > EXECUTE > COMPLETE,2026-03-11T17:01:53.738+01:00:PENDING | 2026-03-11T17:01:54.744+01:00:EXECUTE | 2026-03-11T17:02:04.820+01:00:COMPLETE,2026-03-11T17:02:04.820+01:00
2026-03-11T17:02:04.822+01:00,SingleDeviceAction,1,,,,,,5,,,,,SingleDeviceAction,"{""id"": ""fe40aacc-3706-47da-920d-9f3e9eeb22f9"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": ""Success""}}",0,Success,"{""Position"": ""0"", ""Results"": ""Success""}",succeeded,fe40aacc-3706-47da-920d-9f3e9eeb22f9,ARM,uGO_CONTROLLER > UR5E_POLYSCOPE > ARM,,PENDING > EXECUTE > COMPLETE,2026-03-11T17:02:04.828+01:00:PENDING | 2026-03-11T17:02:05.831+01:00:EXECUTE | 2026-03-11T17:02:07.853+01:00:COMPLETE,2026-03-11T17:02:07.853+01:00
2026-03-11T17:02:07.859+01:00,SingleDeviceAction,4,,,,,,5,,,,,SingleDeviceAction,"{""id"": ""d9bc100a-114e-4ffb-ac8b-2c0dc238ed1f"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": ""Success""}}",0,Success,"{""Position"": ""0"", ""Results"": ""Success""}",succeeded,d9bc100a-114e-4ffb-ac8b-2c0dc238ed1f,ARM,uGO_CONTROLLER > UR5E_POLYSCOPE > ARM,,PENDING > EXECUTE > COMPLETE,2026-03-11T17:02:07.873+01:00:PENDING | 2026-03-11T17:02:08.885+01:00:EXECUTE | 2026-03-11T17:02:09.891+01:00:COMPLETE,2026-03-11T17:02:09.891+01:00
2026-03-11T17:02:09.893+01:00,SingleTask,,1,,,,,5,2,1,9002,,SingleTask,"{""id"": ""59da3030-cb34-49ca-93d3-ca323ec003a6"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": """"}}",0,,"{""Position"": ""0"", ""Results"": """"}",succeeded,59da3030-cb34-49ca-93d3-ca323ec003a6,ARM,uGO_CONTROLLER > UR5E_POLYSCOPE > ARM,,PENDING > EXECUTE > COMPLETE,2026-03-11T17:02:09.900+01:00:PENDING | 2026-03-11T17:02:10.912+01:00:EXECUTE | 2026-03-11T17:02:11.917+01:00:COMPLETE,2026-03-11T17:02:11.917+01:00
2026-03-11T17:02:11.918+01:00,SingleTask,,2,,,,,1,2,1,9002,,SingleTask,"{""id"": ""2b7f474a-1b79-4f80-a97b-4fbc7c33172a"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": """"}}",0,,"{""Position"": ""0"", ""Results"": """"}",succeeded,2b7f474a-1b79-4f80-a97b-4fbc7c33172a,ARM,uGO_CONTROLLER > UR5E_POLYSCOPE > ARM,,PENDING > EXECUTE > COMPLETE,2026-03-11T17:02:11.934+01:00:PENDING | 2026-03-11T17:02:12.938+01:00:EXECUTE | 2026-03-11T17:02:14.949+01:00:COMPLETE,2026-03-11T17:02:14.949+01:00
2026-03-11T17:02:14.955+01:00,SingleDeviceAction,4,,,,,,5,,,,,SingleDeviceAction,"{""id"": ""d4723988-eda9-40e1-9c0a-13101eb75728"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": ""Success""}}",0,Success,"{""Position"": ""0"", ""Results"": ""Success""}",succeeded,d4723988-eda9-40e1-9c0a-13101eb75728,ARM,uGO_CONTROLLER > UR5E_POLYSCOPE > ARM,,PENDING > EXECUTE > COMPLETE,2026-03-11T17:02:14.961+01:00:PENDING | 2026-03-11T17:02:15.964+01:00:EXECUTE | 2026-03-11T17:02:17.978+01:00:COMPLETE,2026-03-11T17:02:17.978+01:00
2026-03-11T17:02:17.981+01:00,SingleTask,,1,,,,,5,2,1,9002,,SingleTask,"{""id"": ""152a610c-af3c-45ac-810f-2c37ce2475bc"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": """"}}",0,,"{""Position"": ""0"", ""Results"": """"}",succeeded,152a610c-af3c-45ac-810f-2c37ce2475bc,ARM,uGO_CONTROLLER > UR5E_POLYSCOPE > ARM,,PENDING > EXECUTE > COMPLETE,2026-03-11T17:02:17.994+01:00:PENDING | 2026-03-11T17:02:18.997+01:00:EXECUTE | 2026-03-11T17:02:21.008+01:00:COMPLETE,2026-03-11T17:02:21.008+01:00
2026-03-11T17:02:21.010+01:00,SingleTask,,2,,,,,1,2,2,9002,,SingleTask,"{""id"": ""c205b0ba-465f-49b4-951a-75c533d8b693"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": """"}}",0,,"{""Position"": ""0"", ""Results"": """"}",succeeded,c205b0ba-465f-49b4-951a-75c533d8b693,ARM,uGO_CONTROLLER > UR5E_POLYSCOPE > ARM,,PENDING > EXECUTE > COMPLETE,2026-03-11T17:02:21.021+01:00:PENDING | 2026-03-11T17:02:22.028+01:00:EXECUTE | 2026-03-11T17:02:23.040+01:00:COMPLETE,2026-03-11T17:02:23.040+01:00
2026-03-11T17:02:23.049+01:00,SingleDeviceAction,4,,,,,,5,,,,,SingleDeviceAction,"{""id"": ""4a03145d-aee7-4bc5-b71d-8066fb567d1b"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": ""Success""}}",0,Success,"{""Position"": ""0"", ""Results"": ""Success""}",succeeded,4a03145d-aee7-4bc5-b71d-8066fb567d1b,ARM,uGO_CONTROLLER > UR5E_POLYSCOPE > ARM,,PENDING > EXECUTE > COMPLETE,2026-03-11T17:02:23.056+01:00:PENDING | 2026-03-11T17:02:24.066+01:00:EXECUTE | 2026-03-11T17:02:25.073+01:00:COMPLETE,2026-03-11T17:02:25.073+01:00
2026-03-11T17:02:25.075+01:00,SingleTask,,1,,,,,5,2,1,9002,,SingleTask,"{""id"": ""36d308f1-c6cf-4d38-bdf7-81a3a10f592c"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": """"}}",0,,"{""Position"": ""0"", ""Results"": """"}",succeeded,36d308f1-c6cf-4d38-bdf7-81a3a10f592c,ARM,uGO_CONTROLLER > UR5E_POLYSCOPE > ARM,,PENDING > EXECUTE > COMPLETE,2026-03-11T17:02:25.083+01:00:PENDING | 2026-03-11T17:02:26.091+01:00:EXECUTE | 2026-03-11T17:02:27.112+01:00:COMPLETE,2026-03-11T17:02:27.112+01:00
2026-03-11T17:02:27.115+01:00,SingleTask,,2,,,,,1,2,3,9002,,SingleTask,"{""id"": ""64fa3d4d-8fc2-4d69-be0f-4e9f714ab992"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": """"}}",0,,"{""Position"": ""0"", ""Results"": """"}",succeeded,64fa3d4d-8fc2-4d69-be0f-4e9f714ab992,ARM,uGO_CONTROLLER > UR5E_POLYSCOPE > ARM,,PENDING > EXECUTE > COMPLETE,2026-03-11T17:02:27.122+01:00:PENDING | 2026-03-11T17:02:28.133+01:00:EXECUTE | 2026-03-11T17:02:30.148+01:00:COMPLETE,2026-03-11T17:02:30.148+01:00
2026-03-11T17:02:30.160+01:00,SingleDeviceAction,4,,,,,,5,,,,,SingleDeviceAction,"{""id"": ""7fdc9f17-6184-49e5-87b6-a8f2ce6d26c7"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": ""Success""}}",0,Success,"{""Position"": ""0"", ""Results"": ""Success""}",succeeded,7fdc9f17-6184-49e5-87b6-a8f2ce6d26c7,ARM,uGO_CONTROLLER > UR5E_POLYSCOPE > ARM,,PENDING > EXECUTE > SUSPENDED > COMPLETE,2026-03-11T17:02:30.169+01:00:PENDING | 2026-03-11T17:02:31.182+01:00:EXECUTE | 2026-03-11T17:02:34.194+01:00:SUSPENDED | 2026-03-11T17:03:06.363+01:00:COMPLETE,2026-03-11T17:03:06.363+01:00
2026-03-11T17:03:06.366+01:00,SingleTask,,1,,,,,5,2,1,9002,,SingleTask,"{""id"": ""24afe142-5c18-4407-a68d-3dbbf190f598"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": """"}}",0,,"{""Position"": ""0"", ""Results"": """"}",succeeded,24afe142-5c18-4407-a68d-3dbbf190f598,ARM,uGO_CONTROLLER > UR5E_POLYSCOPE > ARM,,PENDING > EXECUTE > COMPLETE,2026-03-11T17:03:06.374+01:00:PENDING | 2026-03-11T17:03:07.381+01:00:EXECUTE | 2026-03-11T17:03:08.386+01:00:COMPLETE,2026-03-11T17:03:08.386+01:00
2026-03-11T17:03:08.388+01:00,SingleTask,,2,,,,,1,2,4,9002,,SingleTask,"{""id"": ""ac722673-b9e2-4681-9e4f-61393e06f01d"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": """"}}",0,,"{""Position"": ""0"", ""Results"": """"}",succeeded,ac722673-b9e2-4681-9e4f-61393e06f01d,ARM,uGO_CONTROLLER > UR5E_POLYSCOPE > ARM,,PENDING > EXECUTE > COMPLETE,2026-03-11T17:03:08.410+01:00:PENDING | 2026-03-11T17:03:09.415+01:00:EXECUTE | 2026-03-11T17:03:10.421+01:00:COMPLETE,2026-03-11T17:03:10.421+01:00
2026-03-11T17:03:10.429+01:00,SingleDeviceAction,3,,,,,,5,,,,,SingleDeviceAction,"{""id"": ""8267ade9-e1ea-47f8-808c-4e5c60f43093"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": ""Success""}}",0,Success,"{""Position"": ""0"", ""Results"": ""Success""}",succeeded,8267ade9-e1ea-47f8-808c-4e5c60f43093,ARM,uGO_CONTROLLER > UR5E_POLYSCOPE > ARM,,PENDING > EXECUTE > COMPLETE,2026-03-11T17:03:10.437+01:00:PENDING | 2026-03-11T17:03:11.443+01:00:EXECUTE | 2026-03-11T17:03:12.451+01:00:COMPLETE,2026-03-11T17:03:12.451+01:00
