task_id,command_sent,change_index,state,timestamp,task_outputs,task_output_results,task_output_position,task_data
2efe5c35-3688-492c-b781-039c68697987,Navigate,1,PENDING,2026-03-09T10:44:14.320+01:00,"{""Position"": ""0"", ""Results"": ""NavigationComplete""}",NavigationComplete,0,"{""id"": ""2efe5c35-3688-492c-b781-039c68697987"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": ""NavigationComplete""}}"
2efe5c35-3688-492c-b781-039c68697987,Navigate,2,EXECUTE,2026-03-09T10:44:15.326+01:00,"{""Position"": ""0"", ""Results"": ""NavigationComplete""}",NavigationComplete,0,"{""id"": ""2efe5c35-3688-492c-b781-039c68697987"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": ""NavigationComplete""}}"
2efe5c35-3688-492c-b781-039c68697987,Navigate,3,COMPLETE,2026-03-09T10:44:17.334+01:00,"{""Position"": ""0"", ""Results"": ""NavigationComplete""}",NavigationComplete,0,"{""id"": ""2efe5c35-3688-492c-b781-039c68697987"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": ""NavigationComplete""}}"
40f0779d-d72a-4237-9fb9-5abca98ceadf,SingleDeviceAction,1,PENDING,2026-03-09T10:44:17.443+01:00,"{""Position"": ""0"", ""Results"": ""p[0, 0, 0, 0, 0, 0]""}","p[0, 0, 0, 0, 0, 0]",0,"{""id"": ""40f0779d-d72a-4237-9fb9-5abca98ceadf"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": ""p[0, 0, 0, 0, 0, 0]""}}"
40f0779d-d72a-4237-9fb9-5abca98ceadf,SingleDeviceAction,2,EXECUTE,2026-03-09T10:44:18.448+01:00,"{""Position"": ""0"", ""Results"": ""p[0, 0, 0, 0, 0, 0]""}","p[0, 0, 0, 0, 0, 0]",0,"{""id"": ""40f0779d-d72a-4237-9fb9-5abca98ceadf"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": ""p[0, 0, 0, 0, 0, 0]""}}"
40f0779d-d72a-4237-9fb9-5abca98ceadf,SingleDeviceAction,3,COMPLETE,2026-03-09T10:44:20.457+01:00,"{""Position"": ""0"", ""Results"": ""p[0, 0, 0, 0, 0, 0]""}","p[0, 0, 0, 0, 0, 0]",0,"{""id"": ""40f0779d-d72a-4237-9fb9-5abca98ceadf"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": ""p[0, 0, 0, 0, 0, 0]""}}"
47235698-aac1-4269-ba64-ada98ecf076b,SingleTask,1,PENDING,2026-03-09T10:44:20.566+01:00,"{""Position"": ""0"", ""Results"": """"}",,0,"{""id"": ""47235698-aac1-4269-ba64-ada98ecf076b"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": """"}}"
47235698-aac1-4269-ba64-ada98ecf076b,SingleTask,2,EXECUTE,2026-03-09T10:44:21.570+01:00,"{""Position"": ""0"", ""Results"": """"}",,0,"{""id"": ""47235698-aac1-4269-ba64-ada98ecf076b"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": """"}}"
47235698-aac1-4269-ba64-ada98ecf076b,SingleTask,3,COMPLETE,2026-03-09T10:44:22.575+01:00,"{""Position"": ""0"", ""Results"": """"}",,0,"{""id"": ""47235698-aac1-4269-ba64-ada98ecf076b"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": """"}}"
5789f079-fb3e-4926-bffb-601a40f13069,SingleTask,1,PENDING,2026-03-09T10:44:22.582+01:00,"{""Position"": ""0"", ""Results"": """"}",,0,"{""id"": ""5789f079-fb3e-4926-bffb-601a40f13069"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": """"}}"
5789f079-fb3e-4926-bffb-601a40f13069,SingleTask,2,EXECUTE,2026-03-09T10:44:23.587+01:00,"{""Position"": ""0"", ""Results"": """"}",,0,"{""id"": ""5789f079-fb3e-4926-bffb-601a40f13069"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": """"}}"
