Started Wise polling loop for BIORAD_IH500_DEVICE_01 (interval=1.0s)
2026-03-18T15:44:34.659+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:44:35.686+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:44:36.815+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:44:37.842+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:44:38.869+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:44:40.829+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:44:42.400+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:44:43.454+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:44:44.484+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:44:45.515+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:44:46.540+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:44:47.572+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:44:48.595+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:44:49.814+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:44:50.845+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:44:51.878+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:44:53.059+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:44:54.105+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:44:55.135+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:44:56.158+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:44:57.188+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:44:58.213+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:44:59.249+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:45:00.263+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:45:01.296+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:45:02.325+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:45:03.762+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:45:04.862+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:45:05.878+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:45:06.911+01:00 online=True stale=False DI0=1 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:45:07.943+01:00 online=True stale=False DI0=1 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:45:08.968+01:00 online=True stale=False DI0=1 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:45:09.992+01:00 online=True stale=False DI0=1 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:45:11.009+01:00 online=True stale=False DI0=1 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:45:12.034+01:00 online=True stale=False DI0=1 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:45:13.057+01:00 online=True stale=False DI0=1 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:45:14.078+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:45:15.092+01:00 online=True stale=False DI0=0 DI1=1 DI2=0 DI3=0 err=''
2026-03-18T15:45:16.122+01:00 online=True stale=False DI0=0 DI1=1 DI2=0 DI3=0 err=''
2026-03-18T15:45:17.150+01:00 online=True stale=False DI0=0 DI1=1 DI2=0 DI3=0 err=''
2026-03-18T15:45:18.175+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:45:19.204+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:45:20.230+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:45:21.258+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:45:22.282+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:45:23.307+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:45:25.614+01:00 online=True stale=False DI0=1 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:45:26.674+01:00 online=True stale=False DI0=0 DI1=1 DI2=0 DI3=0 err=''
2026-03-18T15:45:29.211+01:00 online=False stale=True DI0=0 DI1=1 DI2=0 DI3=0 err='HTTPConnectionPool(host='192.168.137.101', port=80): Read timed out.'
2026-03-18T15:45:30.244+01:00 online=True stale=False DI0=0 DI1=0 DI2=1 DI3=0 err=''
2026-03-18T15:45:31.284+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:45:32.312+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:45:34.658+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:45:35.879+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:45:37.128+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:45:38.758+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:45:39.872+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:45:41.135+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:45:42.360+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:45:44.465+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:45:45.517+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:45:46.547+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:45:47.566+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:45:48.590+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:45:49.620+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:45:50.646+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:45:51.679+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:45:53.364+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:45:54.651+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:45:55.673+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:45:57.783+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:45:58.830+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:45:59.842+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:46:00.872+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:46:01.905+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:46:02.930+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:46:03.962+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:46:05.564+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:46:06.605+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:46:07.638+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:46:08.668+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:46:09.892+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:46:10.921+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:46:11.952+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:46:12.977+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:46:15.899+01:00 online=False stale=True DI0=0 DI1=0 DI2=0 DI3=0 err='HTTPConnectionPool(host='192.168.137.101', port=80): Read timed out.'
2026-03-18T15:46:16.948+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:46:17.986+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:46:19.018+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:46:21.732+01:00 online=False stale=True DI0=0 DI1=0 DI2=0 DI3=0 err='HTTPConnectionPool(host='192.168.137.101', port=80): Read timed out. (read timeout=1.5)'
2026-03-18T15:46:22.788+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:46:24.016+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:46:25.250+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:46:26.281+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:46:29.377+01:00 online=False stale=True DI0=0 DI1=0 DI2=0 DI3=0 err='HTTPConnectionPool(host='192.168.137.101', port=80): Read timed out.'
2026-03-18T15:46:30.471+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:46:31.494+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:46:32.600+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:46:33.636+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:46:34.667+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:46:35.706+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:46:38.259+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:46:39.281+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=1 err=''
2026-03-18T15:46:40.310+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=1 err=''
2026-03-18T15:46:41.340+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=1 err=''
2026-03-18T15:46:42.364+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=1 err=''
2026-03-18T15:46:44.166+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:46:45.215+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:46:46.245+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:46:47.266+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:46:48.289+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:46:49.314+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:46:50.344+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:46:51.377+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:46:52.783+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:46:54.011+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:46:55.036+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
