timestamp_sent,command_sent,ACT,AMR_DOCK,AMR_Footprint,AMR_PosTarget,CAMERA,ITM_ID,JIG_ID,OBJ_Nbr,OBJ_Type,STATION,taskName,task_data,task_output_position,task_output_results,task_outputs,result,task_id,receiver,dispatch_path,message,state_path,state_timeline,timestamp_returned
2026-03-13T15:50:34.010+01:00,Navigate,,1,1,2,,,,,,,Navigate,"{""id"": ""bf5e5de9-e6b3-42b3-8dc2-a90d4b98a699"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""2"", ""Results"": ""NavigationComplete""}}",2,NavigationComplete,"{""Position"": ""2"", ""Results"": ""NavigationComplete""}",succeeded,bf5e5de9-e6b3-42b3-8dc2-a90d4b98a699,AMR,uGO_CONTROLLER > UR5E_POLYSCOPE > AMR,,PENDING > EXECUTE > COMPLETE,2026-03-13T15:50:34.017+01:00:PENDING | 2026-03-13T15:50:35.021+01:00:EXECUTE | 2026-03-13T15:51:17.328+01:00:COMPLETE,2026-03-13T15:51:17.328+01:00
2026-03-13T15:51:17.434+01:00,SingleDeviceAction,30,,,,,2,,,,,SingleDeviceAction,"{""id"": ""13123004-3f80-445a-903c-a9e6d9c11992"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""2"", ""Results"": ""p[-0.002263, 0.000122, 0.000059, -0.000122, 0.000367, -0.000803]""}}",2,"p[-0.002263, 0.000122, 0.000059, -0.000122, 0.000367, -0.000803]","{""Position"": ""2"", ""Results"": ""p[-0.002263, 0.000122, 0.000059, -0.000122, 0.000367, -0.000803]""}",succeeded,13123004-3f80-445a-903c-a9e6d9c11992,ARM,uGO_CONTROLLER > UR5E_POLYSCOPE > ARM,,PENDING > EXECUTE > COMPLETE,2026-03-13T15:51:17.447+01:00:PENDING | 2026-03-13T15:51:18.455+01:00:EXECUTE | 2026-03-13T15:51:26.516+01:00:COMPLETE,2026-03-13T15:51:26.517+01:00
2026-03-13T15:51:26.619+01:00,SingleTask,1,,,,,2,1,1,551,,SingleTask,"{""id"": ""fa9b35d9-33e0-468a-a233-358f9e8b778d"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""2"", ""Results"": """"}}",2,,"{""Position"": ""2"", ""Results"": """"}",succeeded,fa9b35d9-33e0-468a-a233-358f9e8b778d,ARM,uGO_CONTROLLER > UR5E_POLYSCOPE > ARM,,PENDING > EXECUTE > COMPLETE,2026-03-13T15:51:26.628+01:00:PENDING | 2026-03-13T15:51:27.633+01:00:EXECUTE | 2026-03-13T15:51:36.715+01:00:COMPLETE,2026-03-13T15:51:36.715+01:00
2026-03-13T15:51:36.717+01:00,SingleTask,2,,,,,1,1,1,551,,SingleTask,"{""id"": ""7986baea-7848-43a8-af1b-9654e2523b64"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""2"", ""Results"": """"}}",2,,"{""Position"": ""2"", ""Results"": """"}",succeeded,7986baea-7848-43a8-af1b-9654e2523b64,ARM,uGO_CONTROLLER > UR5E_POLYSCOPE > ARM,,PENDING > EXECUTE > COMPLETE,2026-03-13T15:51:36.734+01:00:PENDING | 2026-03-13T15:51:37.743+01:00:EXECUTE | 2026-03-13T15:51:49.833+01:00:COMPLETE,2026-03-13T15:51:49.833+01:00
2026-03-13T15:51:49.937+01:00,Charge,,,,,,,,,,,Charge,"{""id"": ""9343a323-2eda-4edc-9eb3-7ab53202beae"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": ""NavigationComplete""}}",0,NavigationComplete,"{""Position"": ""0"", ""Results"": ""NavigationComplete""}",succeeded,9343a323-2eda-4edc-9eb3-7ab53202beae,AMR,uGO_CONTROLLER > UR5E_POLYSCOPE > AMR,,PENDING > EXECUTE > COMPLETE,2026-03-13T15:51:49.948+01:00:PENDING | 2026-03-13T15:51:50.961+01:00:EXECUTE | 2026-03-13T15:52:38.364+01:00:COMPLETE,2026-03-13T15:52:38.364+01:00
2026-03-13T15:52:38.468+01:00,InspectRackAtStation,,,,,WRIST,,1,,,uLMPlateStation,CameraInspect,"{""id"": ""2e839a83-cb3e-46a9-b42c-93efdbeb99a3"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": ""F,F,P,P,P,P,F,P,P,P,P,F,P,P,P,P,P,P,F,P,P,P,P,P,P,P,P,P,F,F,P,F""}}",0,"F,F,P,P,P,P,F,P,P,P,P,F,P,P,P,P,P,P,F,P,P,P,P,P,P,P,P,P,F,F,P,F","{""Position"": ""0"", ""Results"": ""F,F,P,P,P,P,F,P,P,P,P,F,P,P,P,P,P,P,F,P,P,P,P,P,P,P,P,P,F,F,P,F""}",succeeded,2e839a83-cb3e-46a9-b42c-93efdbeb99a3,WRIST_CAMERA,uGO_CONTROLLER > UR5E_POLYSCOPE > WRIST_CAMERA,,PENDING > EXECUTE > COMPLETE,2026-03-13T15:52:38.487+01:00:PENDING | 2026-03-13T15:52:39.493+01:00:EXECUTE | 2026-03-13T15:52:50.588+01:00:COMPLETE,2026-03-13T15:52:50.588+01:00
2026-03-13T15:52:50.738+01:00,SingleTask,1,,,,,1,1,1,810,,SingleTask,"{""id"": ""6d5af54d-e4f0-46ea-8980-969a9166d898"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": """"}}",0,,"{""Position"": ""0"", ""Results"": """"}",succeeded,6d5af54d-e4f0-46ea-8980-969a9166d898,ARM,uGO_CONTROLLER > UR5E_POLYSCOPE > ARM,,PENDING > EXECUTE > COMPLETE,2026-03-13T15:52:50.747+01:00:PENDING | 2026-03-13T15:52:51.752+01:00:EXECUTE | 2026-03-13T15:52:58.791+01:00:COMPLETE,2026-03-13T15:52:58.791+01:00
2026-03-13T15:52:58.793+01:00,SingleTask,2,,,,,1,10,1,810,,SingleTask,"{""id"": ""40553300-be53-4810-aa7e-b0d98733b112"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": """"}}",0,,"{""Position"": ""0"", ""Results"": """"}",succeeded,40553300-be53-4810-aa7e-b0d98733b112,ARM,uGO_CONTROLLER > UR5E_POLYSCOPE > ARM,,PENDING > EXECUTE > COMPLETE,2026-03-13T15:52:58.804+01:00:PENDING | 2026-03-13T15:52:59.813+01:00:EXECUTE | 2026-03-13T15:53:07.859+01:00:COMPLETE,2026-03-13T15:53:07.859+01:00
2026-03-13T15:53:07.866+01:00,ProcessAt3FingerStation,3,,,,,1,10,,,,ProcessAt3FingerStation,"{""id"": ""b41dcba8-1630-4bc4-a35f-fb31c72da274"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": ""02""}}",0,02,"{""Position"": ""0"", ""Results"": ""02""}",succeeded,b41dcba8-1630-4bc4-a35f-fb31c72da274,3FG,uGO_CONTROLLER > UR5E_POLYSCOPE > 3FG,,PENDING > EXECUTE > COMPLETE,2026-03-13T15:53:07.876+01:00:PENDING | 2026-03-13T15:53:08.881+01:00:EXECUTE | 2026-03-13T15:53:09.885+01:00:COMPLETE,2026-03-13T15:53:09.885+01:00
2026-03-13T15:53:09.887+01:00,SingleTask,1,,,,,1,10,1,810,,SingleTask,"{""id"": ""f6ab31eb-e03c-4ac6-b9bc-540fb769a03a"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": """"}}",0,,"{""Position"": ""0"", ""Results"": """"}",succeeded,f6ab31eb-e03c-4ac6-b9bc-540fb769a03a,ARM,uGO_CONTROLLER > UR5E_POLYSCOPE > ARM,,PENDING > EXECUTE > COMPLETE,2026-03-13T15:53:09.894+01:00:PENDING | 2026-03-13T15:53:10.902+01:00:EXECUTE | 2026-03-13T15:53:17.948+01:00:COMPLETE,2026-03-13T15:53:17.948+01:00
