task_id,command_sent,change_index,state,timestamp,task_outputs,task_output_results,task_output_position,task_data
bf5e5de9-e6b3-42b3-8dc2-a90d4b98a699,Navigate,1,PENDING,2026-03-13T15:50:34.017+01:00,"{""Position"": ""2"", ""Results"": ""NavigationComplete""}",NavigationComplete,2,"{""id"": ""bf5e5de9-e6b3-42b3-8dc2-a90d4b98a699"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""2"", ""Results"": ""NavigationComplete""}}"
bf5e5de9-e6b3-42b3-8dc2-a90d4b98a699,Navigate,2,EXECUTE,2026-03-13T15:50:35.021+01:00,"{""Position"": ""2"", ""Results"": ""NavigationComplete""}",NavigationComplete,2,"{""id"": ""bf5e5de9-e6b3-42b3-8dc2-a90d4b98a699"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""2"", ""Results"": ""NavigationComplete""}}"
bf5e5de9-e6b3-42b3-8dc2-a90d4b98a699,Navigate,3,COMPLETE,2026-03-13T15:51:17.328+01:00,"{""Position"": ""2"", ""Results"": ""NavigationComplete""}",NavigationComplete,2,"{""id"": ""bf5e5de9-e6b3-42b3-8dc2-a90d4b98a699"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""2"", ""Results"": ""NavigationComplete""}}"
13123004-3f80-445a-903c-a9e6d9c11992,SingleDeviceAction,1,PENDING,2026-03-13T15:51:17.447+01:00,"{""Position"": ""2"", ""Results"": ""p[-0.002263, 0.000122, 0.000059, -0.000122, 0.000367, -0.000803]""}","p[-0.002263, 0.000122, 0.000059, -0.000122, 0.000367, -0.000803]",2,"{""id"": ""13123004-3f80-445a-903c-a9e6d9c11992"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""2"", ""Results"": ""p[-0.002263, 0.000122, 0.000059, -0.000122, 0.000367, -0.000803]""}}"
13123004-3f80-445a-903c-a9e6d9c11992,SingleDeviceAction,2,EXECUTE,2026-03-13T15:51:18.455+01:00,"{""Position"": ""2"", ""Results"": ""p[-0.002263, 0.000122, 0.000059, -0.000122, 0.000367, -0.000803]""}","p[-0.002263, 0.000122, 0.000059, -0.000122, 0.000367, -0.000803]",2,"{""id"": ""13123004-3f80-445a-903c-a9e6d9c11992"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""2"", ""Results"": ""p[-0.002263, 0.000122, 0.000059, -0.000122, 0.000367, -0.000803]""}}"
13123004-3f80-445a-903c-a9e6d9c11992,SingleDeviceAction,3,COMPLETE,2026-03-13T15:51:26.516+01:00,"{""Position"": ""2"", ""Results"": ""p[-0.002263, 0.000122, 0.000059, -0.000122, 0.000367, -0.000803]""}","p[-0.002263, 0.000122, 0.000059, -0.000122, 0.000367, -0.000803]",2,"{""id"": ""13123004-3f80-445a-903c-a9e6d9c11992"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""2"", ""Results"": ""p[-0.002263, 0.000122, 0.000059, -0.000122, 0.000367, -0.000803]""}}"
fa9b35d9-33e0-468a-a233-358f9e8b778d,SingleTask,1,PENDING,2026-03-13T15:51:26.628+01:00,"{""Position"": ""2"", ""Results"": """"}",,2,"{""id"": ""fa9b35d9-33e0-468a-a233-358f9e8b778d"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""2"", ""Results"": """"}}"
fa9b35d9-33e0-468a-a233-358f9e8b778d,SingleTask,2,EXECUTE,2026-03-13T15:51:27.633+01:00,"{""Position"": ""2"", ""Results"": """"}",,2,"{""id"": ""fa9b35d9-33e0-468a-a233-358f9e8b778d"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""2"", ""Results"": """"}}"
fa9b35d9-33e0-468a-a233-358f9e8b778d,SingleTask,3,COMPLETE,2026-03-13T15:51:36.715+01:00,"{""Position"": ""2"", ""Results"": """"}",,2,"{""id"": ""fa9b35d9-33e0-468a-a233-358f9e8b778d"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""2"", ""Results"": """"}}"
7986baea-7848-43a8-af1b-9654e2523b64,SingleTask,1,PENDING,2026-03-13T15:51:36.734+01:00,"{""Position"": ""2"", ""Results"": """"}",,2,"{""id"": ""7986baea-7848-43a8-af1b-9654e2523b64"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""2"", ""Results"": """"}}"
7986baea-7848-43a8-af1b-9654e2523b64,SingleTask,2,EXECUTE,2026-03-13T15:51:37.743+01:00,"{""Position"": ""2"", ""Results"": """"}",,2,"{""id"": ""7986baea-7848-43a8-af1b-9654e2523b64"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""2"", ""Results"": """"}}"
7986baea-7848-43a8-af1b-9654e2523b64,SingleTask,3,COMPLETE,2026-03-13T15:51:49.833+01:00,"{""Position"": ""2"", ""Results"": """"}",,2,"{""id"": ""7986baea-7848-43a8-af1b-9654e2523b64"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""2"", ""Results"": """"}}"
9343a323-2eda-4edc-9eb3-7ab53202beae,Charge,1,PENDING,2026-03-13T15:51:49.948+01:00,"{""Position"": ""0"", ""Results"": ""NavigationComplete""}",NavigationComplete,0,"{""id"": ""9343a323-2eda-4edc-9eb3-7ab53202beae"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": ""NavigationComplete""}}"
9343a323-2eda-4edc-9eb3-7ab53202beae,Charge,2,EXECUTE,2026-03-13T15:51:50.961+01:00,"{""Position"": ""0"", ""Results"": ""NavigationComplete""}",NavigationComplete,0,"{""id"": ""9343a323-2eda-4edc-9eb3-7ab53202beae"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": ""NavigationComplete""}}"
9343a323-2eda-4edc-9eb3-7ab53202beae,Charge,3,COMPLETE,2026-03-13T15:52:38.364+01:00,"{""Position"": ""0"", ""Results"": ""NavigationComplete""}",NavigationComplete,0,"{""id"": ""9343a323-2eda-4edc-9eb3-7ab53202beae"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": ""NavigationComplete""}}"
2e839a83-cb3e-46a9-b42c-93efdbeb99a3,InspectRackAtStation,1,PENDING,2026-03-13T15:52:38.487+01:00,"{""Position"": ""0"", ""Results"": ""F,F,P,P,P,P,F,P,P,P,P,F,P,P,P,P,P,P,F,P,P,P,P,P,P,P,P,P,F,F,P,F""}","F,F,P,P,P,P,F,P,P,P,P,F,P,P,P,P,P,P,F,P,P,P,P,P,P,P,P,P,F,F,P,F",0,"{""id"": ""2e839a83-cb3e-46a9-b42c-93efdbeb99a3"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": ""F,F,P,P,P,P,F,P,P,P,P,F,P,P,P,P,P,P,F,P,P,P,P,P,P,P,P,P,F,F,P,F""}}"
